               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099846,            0.032984,                   0,              0.1339,              0.1223,            0.063744,            0.015844,            0.058696,            0.016421,                   0,            0.070652,           0.0032609,           0.0032609
                   1,            0.068047,            0.029833,                   0,             0.20684,             0.26259,              0.1713,            0.061943,            0.045372,            0.012161,                   0,            0.040571,           0.0065126,           0.0065126
                   2,            0.060409,            0.029863,                   0,              0.3917,              0.3777,             0.33048,            0.096726,            0.047258,            0.010221,                   0,            0.010406,           0.0096818,           0.0096818
                   3,            0.056356,            0.026784,                   0,             0.39721,             0.46043,             0.33809,              0.1378,            0.037344,            0.012783,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,            0.050196,             0.02598,                   0,             0.53873,             0.60918,             0.55087,             0.25186,            0.032025,            0.012511,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.048774,            0.025045,                   0,              0.6783,             0.57643,             0.64246,             0.32217,            0.032425,            0.010491,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.047131,            0.025195,                   0,             0.50949,             0.54177,             0.45484,             0.21906,            0.031524,            0.012153,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.045549,            0.024001,                   0,             0.60003,             0.48921,             0.53129,             0.26372,            0.031318,            0.010651,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.044506,            0.025433,                   0,             0.73991,             0.65827,             0.71599,             0.35807,            0.029006,            0.010126,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.041422,            0.022968,                   0,             0.78809,             0.55036,             0.62251,             0.31015,             0.03264,            0.010252,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.042349,            0.024785,                   0,               0.807,             0.63309,             0.74447,              0.3904,            0.025941,           0.0094637,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.041783,            0.023246,                   0,             0.73486,             0.66906,             0.74329,             0.35879,            0.028024,            0.010083,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,             0.04121,            0.024879,                   0,             0.76122,             0.68805,             0.76397,             0.40695,             0.02591,           0.0092836,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.040112,            0.023228,                   0,             0.77979,             0.78417,             0.82724,             0.47356,            0.024622,           0.0087735,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.038625,            0.021784,                   0,             0.80191,             0.82734,               0.885,              0.5257,            0.022928,            0.008085,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.037145,            0.021867,                   0,             0.84793,             0.78226,             0.85544,              0.5149,             0.02324,            0.008209,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.036542,            0.021878,                   0,             0.83789,             0.81655,             0.87912,             0.47414,             0.02441,           0.0077608,                   0,           0.0081437,           0.0081437,           0.0081437
